id,category,subcategory,brand,name,details,search_term,target_file
1,Tuberías y Accesorios,Tuberías de Desagüe,Gerfor,"Tubo de Desagüe","2"","Tubo de Desag e 2  Gerfor Tuber as de Desag e","/images/products/tuberias-accesorios/1.jpg"
2,Tuberías y Accesorios,Tuberías de Desagüe,Gerfor,"Tubo de Desagüe","3"","Tubo de Desag e 3  Gerfor Tuber as de Desag e","/images/products/tuberias-accesorios/2.jpg"
3,Tuberías y Accesorios,Tuberías de Desagüe,Gerfor,"Tubo de Desagüe","4"","Tubo de Desag e 4  Gerfor Tuber as de Desag e","/images/products/tuberias-accesorios/3.jpg"
4,Tuberías y Accesorios,Tuberías de Agua,Gerfor C-10,"Tubo de Agua","½, ¾","Tubo de Agua      Gerfor C 10 Tuber as de Agua","/images/products/tuberias-accesorios/4.jpg"
5,Tuberías y Accesorios,Tuberías de Agua,Gerfor C-10,"Tubo de Agua","1, 1 ½","Tubo de Agua 1  1   Gerfor C 10 Tuber as de Agua","/images/products/tuberias-accesorios/5.jpg"
6,Tuberías y Accesorios,Tuberías de Agua,Gerfor C-10,"Tubo de Agua","2, 4","Tubo de Agua 2  4 Gerfor C 10 Tuber as de Agua","/images/products/tuberias-accesorios/6.jpg"
7,Tuberías y Accesorios,Tuberías de Luz,Gerfor,"Tubo de Luz","¾","Tubo de Luz   Gerfor Tuber as de Luz","/images/products/tuberias-accesorios/7.jpg"
8,Tuberías y Accesorios,Tuberías de Luz,Gerfor,"Tubo de Luz","⅝","Tubo de Luz   Gerfor Tuber as de Luz","/images/products/tuberias-accesorios/8.jpg"
9,Tuberías y Accesorios,Tuberías de Luz,Gerfor,"Tubo de Luz","1","Tubo de Luz 1 Gerfor Tuber as de Luz","/images/products/tuberias-accesorios/9.jpg"
10,Tuberías y Accesorios,Tuberías de Alcantarillado,Gerfor,"Tubo Alcantarillado","110mm 2.1mm S-25","Tubo Alcantarillado 110mm 2 1mm S 25 Gerfor Tuber as de Alcantarillado","/images/products/tuberias-accesorios/10.jpg"
